,index,text,book,textLength
109,111,"Surveillance data analysis and interpretation,",booklet6,46
110,112,"Prepare to use the district analysis workbook or database,",booklet6,58
111,113,Standard case definitions for reporting diseases/event s/conditions.,booklet6,68
112,114,When adapting these guidelines each country will create its list of priority diseases/events/conditions depending on the local epidemiological situation. The priority list could vary from country to country depending on national policy and resources.,booklet6,250
113,115,"This section is intended as a rapid reference. When additional information is required, please use the detailed references listed in the summary. The table below shows how information is organized in this section.",booklet6,213
114,116,Priority disease/event/condition for IDSR,booklet6,41
115,117,"Background﷐In this sub-section, you will find general information about: The disease or event, the causative agent, geographic range affected and other epidemiologic information. Transmission routes such as person-to-person, unprotected contact with infectious body fluids or contaminated materials, vector-borne, and so on. Why the disease/event is a priority for surveillance. For example, the disease/event is responsible for a high number of deaths, disability and illness,  General and specific risk factors in African countries. Any additional background information that might serve the district surveillance team. ﷐Surveillance Goal﷐This sub-section states how the surveillance information is used for action. ﷐Standard case definition﷐Suspected case: A definition is provided for suspecting a case or outbreak of this disease or event. Probable case: A definition is provided for a suspected case with epidemiological link to a confirmed case or an outbreak if laboratory confirmation results are not available. Confirmed case: A definition is provided for classifying a case as confirmed through laboratory diagnostic testing. ﷐Respond to alert threshold Some diseases or events have program specific thresholds for alerting the health facility or district to a potential problem.  For epidemic-prone diseases, diseases targeted for elimination or eradication, or public health events of international concern, a single case is a suspected outbreak and requires immediate reporting followed by patient treatment, collection of specimens for case confirmation, and investigation of the case to determine the risk factors and potential interventions.  For other priority diseases of public health importance, an outbreak or event is suspected when there is any unusual cluster, pattern, or increase in the number of cases when compared with previous time periods. This should prompt a response such as investigating what might have caused the unusual events. If laboratory confirmation is indicated, specimens should be collected for laboratory confirmation. ﷐Respond to action threshold﷐For epidemic-prone diseases, diseases targeted for elimination or eradication, or public health events of international concern, a confirmed case should trigger a response such as conducting an emergency immunization activity, enhancing access to safe drinking water, community education campaigns, and improving case management. For other priority diseases of public health importance, a confirmed outbreak should prompt an appropriate response such as improving coverage for specified immunizations, strengthening case management, providing information, education and communication about preventing and controlling the disease, and so on. ﷐Analyse and interpret data﷐This sub-section contains generic information about the minimum data elements to collect, analyse and interpret. The key points to consider for interpreting the data and specific elements for analysis are also stated (time, place, and person).﷐Laboratory confirmation﷐In this sub-section, guidelines on laboratory confirmation are provided including: relevant diagnostic  tests, how to collect, store and transport the specimens needed for laboratory confirmation, and information on the results of laboratory work.﷐Reference﷐Appropriate references for further information stated for each disease. Most are available from the WHO website.",booklet6,3403
116,118,Acute haemorrhagic fever syndrome,booklet6,33
117,119,"Background﷐Acute haemorrhagic fever syndromes can be attributable to Ebola and Marburg viral diseases (Filoviridae);    Lassa fever (arenaviridae), Rift Valley fever (RVF) and Crimean-Congo haemorrhagic fever (CCHF) (Bunyaviridae); dengue (dengue haemorrhagic fever (DHF)) and yellow fever (Flaviviridae); and other viral, bacterial or rickettsial diseases with potential to produce epidemics. All cases of acute haemorrhagic fever syndrome whether single or in clusters, should be immediately notified without waiting for the causal agent to be identified.﷐Surveillance goal﷐Early detection of acute haemorrhagic fever syndrome cases and outbreaks, rapid investigation, and early laboratory verification of the cause of all suspected cases. Investigation of all suspected cases with contact tracing. During epidemics, most infected patients do not show haemorrhagic symptoms and a specific case definition according to the suspected or confirmed disease should be used (e.g. case definitions for Ebola-Marburg, CCHF, RVF, Lassa, DHF, and yellow fever).  ﷐Standard case definition﷐Suspected case: Acute onset of fever of less than 3 weeks duration in a severely ill patient/ or a dead person AND any 2 of the following; haemorrhagic or purpuric rash; epistaxis (nose bleed); haematemesis (blood in vomit); haemoptysis (blood in sputum); blood in stool; other haemorrhagic symptoms and no known predisposing factors for haemorrhagic manifestations OR clinical suspicion of any of the viral diseases. Probable case: A suspected case with epidemiologic link to confirmed cases or outbreak, but laboratory specimens are not available or awaited Confirmed case: A suspected case with laboratory confirmation. Note: During an outbreak, case definitions may be changed to correspond to the local event. It is important to note that during outbreaks, most cases might not show haemorrhagic manifestation, a proper history taking is crucial",booklet6,1931
118,120,"Respond to alert threshold﷐ If a single case is suspected: Report case-based information immediately to the appropriate levels. Suspected cases should be isolated from other patients/people and strict infection prevention procedures should be implemented. Standard precautions should be enhanced throughout the health care setting and in communities. Treat and manage the patient with supportive care. Collect the appropriate specimen while observing strict infection prevention and control procedures to confirm the case. Complete a laboratory request form, use triple packaging of the specimens (see detailed SOP for triple packaging) and mark well the containers to warn of a potential laboratory biosafety risk Conduct case-contact tracing and follow-up and active case search for additional cases (See detailed SOP for contact tracing and follow up). Begin or enhance death reporting and surveillance; as well as screening procedures for fever and VHD related symptoms ",booklet6,974
119,121,Acute haemorrhagic fever syndrome,booklet6,33
120,122,"Respond to action threshold﷐If a single case is confirmed: Maintain strict viral haemorrhagic disease (VHD) infection prevention and control (IPC) practices* throughout the outbreak. Mobilize the community for early detection and care and conduct community education about how the disease is transmitted and how to implement IPC in the home care setting and during funerals and burials. Consider social distancing strategies. Conduct case-contact follow-up and active searches for additional cases that may not come to the health care setting. Request additional help from other levels as needed. Establish an isolation ward or treatment centre to handle additional cases that may come to the health centre and ensure strict IPC measures to avoid transmission in health care settings. Suspected cases should be isolated and treated for more common conditions with similar symptoms, which might include malaria, typhoid, louse borne typhus, relapsing fever or leptospirosis. Ensure a barrier is instituted between suspected and confirmed cases. Provide psychosocial support for the family, community and staff. Consider quarantine for high risk contacts with home support during the incubation period and ensure daily follow up of their movements. There are promising vaccine candidates under development for some VHDs that might be useful to be used in the event of outbreak in a ring vaccination approach and for health care workers. Treat conservatively the symptoms which might be presented; severe cases require intensive support care; if dehydrated ensure fluid replacement with fluids that contain electrolytes. A range of potential treatment options including blood products, immune therapies, and drug therapies are currently being evaluated,﷐Analyse and interpret data﷐Person: Implement immediate case-based reporting of cases and deaths. Analyse age and sex distribution. Assess risk factors and plan outbreak response interventions accordingly. Time:Graph cases and deaths daily/weekly. Construct an epidemic curve during the outbreak. Place:Map locations of cases’ households and work sites. If you have a GPS gadget, this will add to understand exact location of the cases; as well as contacts.",booklet6,2207
121,123,"Laboratory confirmation: Acute haemorrhagic fever syndrome﷐Diagnostic test﷐Laboratory confirmed cases must test positive for the virus antigen, either by detection of virus RNA by reverse transcriptase-polymerase chain reaction (RT- PCR), or by detection of IgM antibodies directed against Ebola/Marburg, CCHF, Lassa or West Nile Fever ﷐Specimen﷐For ELISA: Whole blood, serum or plasma  For RT-PCR: Whole blood or blood clot, serum/plasma or tissue For immunohisto-chemistry: Skin or tissue specimens from fatal cases NB: Rapid diagnostic tests (RDTs)o theoretically can be performed in any health care setting and without additional equipment, however, use of an RDT may result in both false positive and false negative test results. A nucleic-acid based (e.g., PCR) diagnostic assay, such as GeneXpert, must be used to confirm the RDT result. Recent guidance from WHO recommends that antigen detection RDT’s for VHDs have no role in the routine management of VHDs in settings where PCR testing is available.  However, they may have utility in settings without laboratory infrastructure and where specimens cannot be rapidly transported to a diagnostic laboratory, if their benefits and limitations are understood.﷐When to collect the specimen﷐Collect specimen from all suspected patients. All cases must be investigated, with contact tracing. Blood samples and appropriate clinical specimens must be collected to confirm a diagnosis as rapidly as possible.﷐How to prepare, store, and transport the specimen HANDLE AND TRANSPORT SPECIMENS FROM SUSPECTED VHF PATIENTS WITH EXTREME CAUTION. WEAR PROTECTIVE CLOTHING AND USE FULL PPE. For ELISA or PCR: Refrigerate serum or clot Freeze (-20oC or colder) tissue specimens for virus isolation For Immunohistochemistry: Fix skin snip specimen in formalin. Specimen can be stored up to 6 weeks. The specimen is not infectious once it is in formalin. Store at room temperature. Formalin-fixed specimens may be transported at room temperature.﷐Results Diagnostic services for VHF are not routinely available. Advance arrangements are usually required for VHF diagnostic services. Contact the appropriate National authority or WHO.﷐References﷐Interim Infection Control Recommendations for Care of Patients with Suspected or Confirmed Filovirus (Ebola, Marburg) Haemorrhagic Fever. BDP/EPR/WHO, Geneva March 2008. Infection control for VHF in the African health care setting, WHO, 1998. WHO/EMC WHO Recommended Surveillance Standards WHO/CDS/CSR/ISR/99.2 WHO recommended Guidelines for Epidemic Preparedness and Response: Ebola Haemorrhagic Fever (EHF). WO/EMC/DIS/97.7. Infection Control for Viral Haemorrhagic Fevers in the African Health Care Setting WHO/EMC/ESR/98.2 Viral Infections of Humans; Epidemiology and Control. 1989. Evans, A.S. (ed). Plenum Medical Book Company, New York",booklet6,2826
122,124,Acute and chronic viral hepatitis,booklet6,33
123,125,"Background﷐Viral hepatitis A and viral hepatitis E Enterically transmitted hepatitis A virus (HAV) and hepatitis E virus (HEV) are a worldwide problem. Common source epidemics have been related to contaminated water and to contamination via infected food handlers. In general, both HAV and HEV are self-limiting viral infections; case fatality is normally low (0.1 – 0.3%). Women in the third trimester of pregnancy are especially susceptible to fulminant HEV disease. Both HAV and HEV are transmitted via the faecal-oral route. Prevention and control measures for hepatitis A and hepatitis E include adequate supplies of safe-drinking water and improvement of sanitary and hygienic practices to eliminate faecal contamination of food and water. Viral hepatitis B and viral hepatitis C: Estimates indicate that worldwide, there are 257 million carriers of hepatitis B virus and 71 million carriers of hepatitis C virus. Acute Hepatitis B and C may be anicteric and thus unrecognized, but acute outbreaks are uncommon.  Chronic infection and severe sequelae occur with hepatitis B – an estimated 15% to 25% of chronically infected persons will die prematurely of either cirrhosis or hepatocellular carcinoma. Chronic Hepatitis C infection is also common and 5% to 20% of those infected with HCV may develop cirrhosis. The risk of hepatocellular carcinoma in persons with HCV cirrhosis is 2-4% per year.  Hepatitis B is transmitted by percutaneous or per mucosal exposure to blood or other infectious body fluids. In most countries where HBV is highly endemic, most acute infections occur during infancy, early childhood or via perinatal transmission from mother to infant. Other important routes of transmission include nosocomial exposure (transfusions, unsafe injection practices), shared needles or syringes among injecting drug users, household contact (e.g., communally used razors and toothbrushes) and sexual contact with an infected person.  Hepatitis C is transmitted by parenteral exposure to blood and plasma derivatives. It is found in highest concentrations in blood. The major causes of HCV infection worldwide are use of unscreened blood transfusions and re-use of needles and syringes that have not been adequately sterilized. Prevention and control measures for hepatitis B and C include transfusion safety, safe and appropriate use of injections and vaccination (hepatitis B). Screening and early treatment are efficient modes of secondary prevention. To address the increasing burden of viral hepatitis, in 2016, African member states adopted Prevention, Care and Treatment of viral hepatitis in the African Region: Framework for action 2016-2020 There is no specific treatment for acute viral hepatitis.",booklet6,2722
124,126,Acute and Chronic Viral Hepatitis,booklet6,33
